,Unnamed: 0,Species Name,Common Name,Type,Location(s),Estimated Population,Threats,Reino,Clase,Familia,Reproducción,Conservation Status,Conservation Name,País,Interacciones Ecológicas,Categorized Population
10,10,Astrochelys yniphora,Ploughshare tortoise,Reptile,"Baly Bay region, northwestern Madagascar",440–770 individuals,Illegal collection for international pet trade,Animalia,Reptilia,Testudinidae,Sexual,NT,Casi Amenazado,northwestern Madagascar,Herbívoro,"Moderados (1,000-10,000)"
11,11,Atelopus balios,Rio Pescado stubfoot toad,Amphibian,"Azuay, Cañar, Guyas provinces, Ecuador",Unknown,"Chytridiomycosis, logging, agricultural expansion",Animalia,Amphibia,Bufonidae,Sexual,CR,En Peligro Crítico,Ecuador,Controlador de insectos,Desconocido
12,12,Aythya innotata,Madagascar pochard,Bird,"Volcanic lakes north of Bealanana, Madagascar",80 mature individuals,"Agriculture, hunting, fishing, introduced fish",Animalia,Aves,Anatidae,Sexual,EN,En Peligro,Madagascar,Depredador,"Moderados (1,000-10,000)"
13,13,Azurina eupalama,Galapagos damsel fish,Fish,Unknown,Unknown,"Climate change, oceanographic changes related to the 1982/1983 El Nino",Animalia,Actinopterygii,Pomacentridae,Sexual,CR,En Peligro Crítico,Unknown,Depredador,Desconocido
14,14,Bahaba taipingensis,Giant yellow croaker,Fish,"Chinese coast from Yangtze River, China to Hong Kong",Unknown,Over-fishing due to value of swim-bladder in traditional medicine,Animalia,Actinopterygii,Sciaenidae,Sexual,CR,En Peligro Crítico,China to Hong Kong,Depredador,Desconocido
15,15,Batagur baska,Common batagur,Reptile,"Bangladesh, Cambodia, India, Indonesia, Malaysia",Unknown,Illegal export to China,Animalia,Reptilia,Geoemydidae,Sexual,CR,En Peligro Crítico,Malaysia,Herbívoro,Desconocido
16,16,Bazzania bhutanica,-,Plant,"Budini and Lafeti Khola, Bhutan",2 sub-populations,"Forest clearance, overgrazing, development",Plantae,Jungermanniopsida,Lepidoziaceae,Asexual,LC,Preocupación Menor,Bhutan,Productor primario,Otros
17,17,Beatragus hunteri,Hirola,Mammal,"South-east Kenya, possibly south-west Somalia","< 1,000 individuals","Habitat loss, competition with livestock, poaching",Animalia,Mammalia,Bovidae,Sexual,CR,En Peligro Crítico,possibly south-west Somalia,Herbívoro,"Pocos (100-1,000)"
18,18,Bombus franklini,Franklin's bumblebee,Insect,Oregon and California,Unknown,"Disease from commercial bees, habitat destruction and degradation",Animalia,Insecta,Apidae,Sexual,CR,En Peligro Crítico,Oregon and California,Polinizador,Desconocido
19,19,Brachyteles hypoxanthus,Northern muriqui,Mammal,"Atlantic forest, south-eastern Brazil","< 1,000 individuals",Large-scale deforestation and logging,Animalia,Mammalia,Atelidae,Sexual,CR,En Peligro Crítico,south-eastern Brazil,Frugívoro,"Pocos (100-1,000)"
20,20,Bradypus pygmaeus,Pygmy three-toed sloth,Mammal,"Isla Escudo de Veraguas, Panama",< 500 individuals,"Illegal logging of mangrove forests for firewood and construction, hunting",Animalia,Mammalia,Bradypodidae,Sexual,CR,En Peligro Crítico,Panama,Herbívoro,Pocos (100-500)
21,21,Callitriche pulchra,-,Plant,"Pool on Gavdos, Greece",Unknown,"Habitat exploitation by livestock, modification of the pool by locals",Plantae,Magnoliopsida,Plantaginaceae,Sexual,CR,En Peligro Crítico,Greece,Productor primario,Desconocido
22,22,Calumma tarzan,Tarzan's chameleon,Reptile,"Anosibe An'Ala region, eastern Madagascar",< 100 individuals,Agriculture,Animalia,Reptilia,Chamaeleonidae,Sexual,CR,En Peligro Crítico,eastern Madagascar,Depredador,Muy pocos (<10)
23,23,Cavia intermedia,Santa Catarina's guinea pig,Mammal,"Moleques do Sul Island, Santa Catarina, Brazil",40–60 individuals,"Habitat disturbance, possible hunting, small population",Animalia,Mammalia,Caviidae,Sexual,VU,Vulnerable,Brazil,Herbívoro,Pocos (100-500)
24,24,Cercopithecus roloway,Roloway guenon,Mammal,Côte d'Ivoire,Unknown,"Hunting, habitat loss",Animalia,Mammalia,Cercopithecidae,Sexual,CR,En Peligro Crítico,Côte d'Ivoire,Frugívoro,Desconocido
25,25,Coleura seychellensis,Seychelles sheath-tailed bat,Mammal,"Two small caves on Silhouette and Mahé, Seychelles",< 100 individuals,"Habitat degradation, predation by invasive species",Animalia,Mammalia,Emballonuridae,Sexual,CR,En Peligro Crítico,Seychelles,Insectívoro,Muy pocos (<10)
26,26,Cryptomyces maximus,Willow blister,Fungi,"Pembrokeshire, United Kingdom",Unknown,Limited habitat,Fungi,Dothideomycetes,Dothideaceae,Asexual,CR,En Peligro Crítico,United Kingdom,Productor primario,Desconocido
27,27,Cryptotis nelsoni,Nelson's small-eared shrew,Mammal,"Volcán San Martín Tuxtla, Veracruz, Mexico",Unknown,"Logging, cattle grazing, fire, agriculture",Animalia,Mammalia,Soricidae,Sexual,CR,En Peligro Crítico,Mexico,Insectívoro,Desconocido
28,28,Cyclura collei,Jamaican iguana,Reptile,"Hellshire Hills, Jamaica",Unknown,"Habitat destruction, predation by introduced species",Animalia,Reptilia,Iguanidae,Sexual,CR,En Peligro Crítico,Jamaica,Herbívoro,Desconocido
29,29,Daubentonia madagascariensis,Aye-aye,Mammal,"Deciduous forest, East Madagascar",Unknown,"Poaching, limited habitat",Animalia,Mammalia,Daubentoniidae,Sexual,CR,En Peligro Crítico,East Madagascar,Frugívoro,Desconocido
30,30,Dendrophylax fawcettii,Cayman Islands ghost orchid,Plant,"Ironwood Forest, George Town, Grand Cayman",Unknown,Infrastructure development,Plantae,Liliopsida,Orchidaceae,Sexual,CR,En Peligro Crítico,Grand Cayman,Productor primario,Desconocido
31,31,Dicerorhinus sumatrensis,Sumatran rhino,Mammal,"Sabah, Sarawak, Peninsular Malaysia, Kalimantan, Sumatra, Indonesia",< 100 individuals,Hunting (horn is used in traditional medicine),Animalia,Mammalia,Rhinocerotidae,Sexual,CR,En Peligro Crítico,Indonesia,Herbívoro,Muy pocos (<10)
32,32,Diomedea amsterdamensis,Amsterdam albatross,Bird,"Breeds on Plateuau des Tourbières, Amsterdam Island, Indian Ocean",100 mature individuals,"Disease, incidental by-catch in long-line fishing",Animalia,Aves,Diomedeidae,Sexual,EN,En Peligro,Indian Ocean,Depredador,Otros
33,33,Dioscorea strydomiana,Wild yam,Plant,"Oshoek area, Mpumalanga, South Africa",200 individuals,Collection for medicinal use,Plantae,Liliopsida,Dioscoreaceae,Sexual,EN,En Peligro,South Africa,Frugívoro,Pocos (100-500)
34,34,Diospyros katendei,-,Plant,"Kasyoha-Kitomi Forest Reserve, Uganda",20 individuals in a single population,"Agricultural activity, illegal tree felling, alluvial gold digging, small population",Plantae,Magnoliopsida,Ebenaceae,Sexual,CR,En Peligro Crítico,Uganda,Frugívoro,Otros
35,35,Dipterocarpus lamellatus,-,Plant,"Siangau Forest Reserve, Sabah, Malaysia",12 individuals,"Logging of lowland forest, creation of industrial plantations",Plantae,Magnoliopsida,Dipterocarpaceae,Sexual,CR,En Peligro Crítico,Malaysia,Productor primario,Otros
36,36,Discoglossus nigriventer,Hula painted frog,Amphibian,"Hula Valley, Israel",Unknown,"Predation by birds, range restriction due to habitat destruction",Animalia,Amphibia,Alytidae,Sexual,CR,En Peligro Crítico,Israel,Controlador de insectos,Desconocido
37,37,Dombeya mauritiana,-,Plant,Mauritius,Unknown,"Encroachment by invasive plant species, habitat loss due to cannabis cultivation",Plantae,Magnoliopsida,Malvaceae,Sexual,CR,En Peligro Crítico,Mauritius,Productor primario,Desconocido
38,38,Elaeocarpus bojeri,Bois Dentelle,Plant (Tree),"Grand Bassin, Mauritius",< 10 individuals,Habitat degradation,Plantae,Magnoliopsida,Elaeocarpaceae,Sexual,CR,En Peligro Crítico,Mauritius,Productor primario,Muy pocos (<10)
39,39,Eleutherodactylus glandulifer,La Hotte glanded frog,Amphibian,"Massif de la Hotte, Haiti",Unknown,"Charcoal production, slash-and-burn agriculture",Animalia,Amphibia,Eleutherodactylidae,Sexual,CR,En Peligro Crítico,Haiti,Controlador de insectos,Desconocido
40,40,Eleutherodactylus thorectes,Macaya breast-spot frog,Amphibian,"Formon and Macaya peaks, Masif de la Hotte, Haiti",Unknown,"Charcoal production, slash-and-burn agriculture",Animalia,Amphibia,Eleutherodactylidae,Sexual,CR,En Peligro Crítico,Haiti,Controlador de insectos,Desconocido
41,41,Eriosyce chilensis,Chilenito (cactus),Plant,"Pta Molles and Pichidungui, Chile",< 500 individuals,Collection of flowering plants,Plantae,Magnoliopsida,Cactaceae,Sexual,CR,En Peligro Crítico,Chile,Productor primario,Pocos (100-500)
42,42,Erythrina schliebenii,Coral tree,Plant,"Namatimbili-Ngarama Forest, Tanzania",< 50 individuals,"Limited habitat, small population size increase vulnerability",Plantae,Magnoliopsida,Fabaceae,Sexual,CR,En Peligro Crítico,Tanzania,Polinizador,Muy pocos (<100)
43,43,Euphorbia tanaensis,-,Plant (Tree),"Witu Forest Reserve, Kenya",4 mature individuals,"Illegal logging, agricultural expansion, infrastructure development",Plantae,Magnoliopsida,Euphorbiaceae,Sexual,CR,En Peligro Crítico,Kenya,Productor primario,Muy pocos (<10)
44,44,Eurynorhyncus pygmeus,Spoon-billed sandpiper,Bird,"Breeds in Russia, migrates along the East Asian-Australasian Flyway to wintering grounds in India, Bangladesh, Myanmar",100 pairs,"Trapping, land reclamation",Animalia,Aves,Scolopacidae,Sexual,LC,Preocupación Menor,Myanmar,Insectívoro,"Pocos (100-1,000)"
45,45,Ficus katendei,-,Plant,"Kasyoha-Kitomi Forest Reserve, Ishasha River, Uganda",< 50 mature individuals,"Agriculture, illegal tree felling, alluvial gold digging",Plantae,Magnoliopsida,Moraceae,Sexual,CR,En Peligro Crítico,Uganda,Frugívoro,Muy pocos (<100)
46,46,Geronticus eremita,Northern bald ibis,Bird,"Breeds in Morocco, Turkey, Syria; winters in central Ethiopia",About 3000 individuals,"Habitat degradation and destruction, hunting",Animalia,Aves,Threskiornithidae,Sexual,VU,Vulnerable,Syria; winters in central Ethiopia,Insectívoro,"Moderados (1,000-10,000)"
47,47,Gigasiphon macrosiphon,-,Plant (Flower),"Kaya Muhaka, Gongoni and Mrima Forest Reserves, Kenya; Amani Nature Reserve, West Kilombero Scarp Forest Reserve, Kihansi Gorge, Tanzania",33 individuals,"Timber extraction, agriculture, encroachment and development, predation by wild pigs",Plantae,Magnoliopsida,Fabaceae,Sexual,CR,En Peligro Crítico,Tanzania,Frugívoro,Muy pocos (<10)
48,48,Gocea ohridana,-,Mollusc,"Lake Ohrid, Macedonia",Unknown,"Increasing pollution levels, off-take of water, sedimentation events",Animalia,Arachnida,Camerobiidae,Sexual,CR,En Peligro Crítico,Macedonia,Insectívoro,Desconocido
49,49,Heleophryne rosei,Table mountain ghost frog,Amphibian,"Table Mountain, Western Cape Province, South Africa",Unknown,"Invasive plants, water abstraction",Animalia,Amphibia,Heleophrynidae,Sexual,CR,En Peligro Crítico,South Africa,Insectívoro,Desconocido
50,50,Hemicycla paeteliana,-,Mollusc (Land snail),"Jandia peninsula, Fuerteventura, Canary Islands",Unknown,"Overgrazing, trampling by goats and tourists",Animalia,Gastropoda,Helicidae,Sexual,CR,En Peligro Crítico,Canary Islands,Insectívoro,Desconocido
51,51,Heteromirafa sidamoensis,Liben lark,Bird,"Liben Plains, southern Ethiopia",90–256 individuals,"Agricultural expansion, overgrazing, fire suppression",Animalia,Insecta,Miridae,Sexual,NT,Casi Amenazado,southern Ethiopia,Polinizador,Otros
52,52,Hibiscadelphus woodii,-,Plant (Tree),"Kalalau Valley, Hawaii",Unknown,"Habitat degradation due to feral ungulates, competition with invasive plant species",Plantae,Magnoliopsida,Malvaceae,Sexual,CR,En Peligro Crítico,Hawaii,Polinizador,Desconocido
53,53,Hucho perryi,Sakhalin taimen,Fish,"Russian and Japanese rivers, Pacific Ocean between Russia and Japan",Unknown,"Overfishing, damming, agriculture, other land use",Animalia,Actinopterygii,Salmonidae,Sexual,CR,En Peligro Crítico,Pacific Ocean between Russia and Japan,Depredador,Desconocido
54,54,Johora singaporensis,Freshwater crab,Crustacean,"Bukit Timah Nature Reserve and streamlet near Bukit Batok, Singapore",Unknown,Habitat degradation due to reduction in water quality and quantity,Animalia,Malacostraca,Potamidae,Sexual,CR,En Peligro Crítico,Singapore,Insectívoro,Desconocido
55,55,Lathyrus belinensis,Belin vetchling,Plant,"Outskirts of Belin village, Antalya, Turkey","< 1,000 individuals","Urbanisation, over-grazing, conifer planting, road widening",Plantae,Magnoliopsida,Fabaceae,Sexual,CR,En Peligro Crítico,Turkey,Polinizador,"Pocos (100-1,000)"
56,56,Leiopelma archeyi,Archey's frog,Amphibian,"Coromandel peninsula and Whareorino Forest, New Zealand",Unknown,"Chytridiomycosis, predation by invasive species",Animalia,Amphibia,Leiopelmatidae,Sexual,CR,En Peligro Crítico,New Zealand,Herbívoro,Desconocido
57,57,Lithobates sevosus,Dusky gopher frog,Amphibian,"Harrison County, Mississippi, USA",60–100 individuals,"Fungal disease, climate change, land-use changes",Animalia,Amphibia,Ranidae,Sexual,NT,Casi Amenazado,USA,Insectívoro,"Pocos (100-1,000)"
58,58,Lophura edwardsi,Edwards's pheasant,Bird,"Quang Binh, Quang Tri, Thua Thien-Hue, Vietnam",Unknown,"Habitat loss, hunting",Animalia,Aves,Phasianidae,Sexual,CR,En Peligro Crítico,Vietnam,Herbívoro,Desconocido
59,59,Magnolia wolfii,-,Plant (Tree),"Risaralda, Colombia",3 individuals,"Isolation of species, low regeneration rates",Plantae,Magnoliopsida,Magnoliaceae,Sexual,CR,En Peligro Crítico,Colombia,Productor primario,Muy pocos (<10)
60,60,Margaritifera marocana,-,Mollusc,"Oued Denna, Oued Abid, Oued Beth, Morocco",< 250 individuals,"Pollution, development",Animalia,Bivalvia,Margaritiferidae,Sexual,CR,En Peligro Crítico,Morocco,Filtrador,Otros
61,61,Moominia willii,-,Mollusc (Snail),"Silhouette Island, Seychelles",< 500 individuals,"Invasive species, climate change",Plantae,Magnoliopsida,Fabaceae,Sexual,CR,En Peligro Crítico,Seychelles,Polinizador,Pocos (100-500)
62,62,Natalus primus,Cuban greater funnel-eared bat,Mammal,"Cueva La Barca, Isle of Pines, Cuba",< 100 individuals,"Habitat loss, human disturbance",Animalia,Mammalia,Natalidae,Sexual,CR,En Peligro Crítico,Cuba,Insectívoro,Muy pocos (<10)
63,63,Nepenthes attenboroughii,Attenborough's pitcher plant,Plant,"Mount Victoria, Palawan, Philippines",Unknown,Poaching,Plantae,Magnoliopsida,Nepenthaceae,Sexual,CR,En Peligro Crítico,Philippines,Productor primario,Desconocido
64,64,Nomascus hainanus,Hainan black crested gibbon,Mammal,"Hainan Island, China",20 individuals,Hunting,Animalia,Mammalia,Hylobatidae,Sexual,CR,En Peligro Crítico,China,Frugívoro,Otros
65,65,Neurergus kaiseri,Luristan newt,Amphibian,"Zagros Mountains, Lorestan, Iran","< 1,000 individuals",Illegal collection for pet trade,Animalia,Amphibia,Salamandridae,Sexual,CR,En Peligro Crítico,Iran,Depredador,"Pocos (100-1,000)"
66,66,Oreocnemis phoenix,Mulanje red damsel,Insect (Damselfly),"Mulanje Plateau, Malawi",Unknown,"Habitat destruction and degradation due to drainage, agricultural expansion, exploitation of forest",Animalia,Insecta,Coenagrionidae,Sexual,CR,En Peligro Crítico,Malawi,Frugívoro,Desconocido
67,67,Pangasius sanitwongsei,Pangasid catfish,Fish,"Chao Phraya and Mekong basins in Cambodia, China, Lao PDR, Thailand, Vietnam",Unknown,"Overfishing, collection for aquarium trade",Animalia,Actinopterygii,Pangasiidae,Sexual,CR,En Peligro Crítico,Vietnam,Depredador,Desconocido
68,68,Parides burchellanus,-,Insect (Butterfly),"Cerrado, Brazil",< 100 individuals,"Human expansion, limited range",Animalia,Insecta,Papilionidae,Sexual,CR,En Peligro Crítico,Brazil,Polinizador,Muy pocos (<10)
69,69,Phocoena sinus,Vaquita,Mammal,"Northern Gulf of California, Mexico",12 individuals,Capture in fishermen's gillnets,Animalia,Mammalia,Phocoenidae,Sexual,CR,En Peligro Crítico,Mexico,Depredador,Otros
70,70,Picea neoveitchii,-,Plant (Tree),"Qinling Range, China",Unknown,Destruction of forest,Plantae,Pinopsida,Pinaceae,Sexual,CR,En Peligro Crítico,China,Productor primario,Desconocido
71,71,Pinus squamata,Qiaojia pine,Plant (Tree),"Qiaojia, Yunnan, China",< 25 individuals,"Limited distribution, small population size",Plantae,Pinopsida,Pinaceae,Sexual,CR,En Peligro Crítico,China,Productor primario,Otros
72,72,Poecilotheria metallica,Gooty tarantula,Spider,"Nandyal and Giddalur, Andhra Pradesh, India",Unknown,"Deforestation, firewood collection, civil unrest",Animalia,Arachnida,Theraphosidae,Sexual,CR,En Peligro Crítico,India,Depredador,Desconocido
73,73,Pomarea whitneyi,Fatuhiva monarch,Bird,"Fatu Hiva, Marquesas Islands, French Polynesia",50 individuals,Predation by introduced species (Rattus rattus and feral cats),Animalia,Aves,Monarchidae,Sexual,EN,En Peligro,French Polynesia,Polinizador,Otros
74,74,Pristis pristis,Common sawfish,Fish,Coastal tropical and subtropical waters of Indo-Pacific and Atlantic Oceans,Unknown,Exploitation has removed the species from 95% of its historical range,Animalia,Chondrichthyes,Pristidae,Sexual,CR,En Peligro Crítico,Coastal tropical and subtropical waters of Indo-Pacific and Atlantic Oceans,Depredador,Desconocido
75,75,Propithecus candidus,Silky sifaka,Mammal,"Maroantsetra to Andapa basin, Marojeju Massif, Madagascar","100–1,000 individuals","Hunting, habitat disturbance",Animalia,Mammalia,Indriidae,Sexual,NT,Casi Amenazado,Madagascar,Dispersionador de semillas,"Pocos (100-1,000)"
76,76,Psammobates geometricus,Geometric tortoise,Reptile,"Western Cape Province, South Africa",Unknown,"Loss of habitat, destruction, predation",Animalia,Reptilia,Testudinidae,Sexual,CR,En Peligro Crítico,South Africa,Herbívoro,Desconocido
77,77,Pseudoryx nghetinhensis,Saola,Mammal,"Annamite mountains, Viet Nam - Laos PDR border",Unknown,"Habitat destruction, hunting",Animalia,Mammalia,Bovidae,Sexual,CR,En Peligro Crítico,Viet Nam - Laos PDR border,Herbívoro,Desconocido
78,78,Psiadia cataractae,-,Plant,Mauritius,Unknown,"Development project, competition from invasive plant species",Plantae,Magnoliopsida,Asteraceae,Sexual,CR,En Peligro Crítico,Mauritius,Frugívoro,Desconocido
79,79,Psorodonotus ebneri,Beydaglari bush-cricket,Insect,"Beydaglari range, Antalaya, Turkey",Unknown,"Climate change, habitat loss",Animalia,Insecta,Tettigoniidae,Sexual,CR,En Peligro Crítico,Turkey,Frugívoro,Desconocido
80,80,Rafetus swinhoei,Red River giant softshell turtle,Reptile,"Hoan Kiem Lake, Dong Mo Lake, Viet Nam, Suzhou Zoo, China",3 individuals,"Hunting for consumption, wetland destruction, pollution",Animalia,Reptilia,Trionychidae,Sexual,CR,En Peligro Crítico,China,Herbívoro,Muy pocos (<10)
81,81,Rhinoceros sondaicus,Javan rhino,Mammal,"Ujung Kulon National Park, Java, Indonesia",< 100 individuals,"Hunting for traditional medicine, small population size",Animalia,Mammalia,Rhinocerotidae,Sexual,CR,En Peligro Crítico,Indonesia,Herbívoro,Muy pocos (<10)
82,82,Rhinopithecus avunculus,Tonkin snub-nosed monkey,Mammal,Northeastern Vietnam,< 200 individuals,"Habitat loss, hunting",Animalia,Mammalia,Cercopithecidae,Sexual,CR,En Peligro Crítico,Northeastern Vietnam,Frugívoro,Pocos (100-500)
83,83,Rhizanthella gardneri,West Australian underground orchid,Plant (Orchid),"Western Australia, Australia",< 100 individuals,"Land clearance for agriculture, climate change, salinisation",Plantae,Liliopsida,Orchidaceae,Sexual,CR,En Peligro Crítico,Australia,Productor primario,Muy pocos (<10)
84,84,Rhynchocyon spp.,Boni giant sengi,Mammal,"Boni-Dodori Forest, Lamu area, Kenya",Unknown,Development causing habitat loss,Animalia,Mammalia,Macroscelididae,Sexual,CR,En Peligro Crítico,Kenya,Frugívoro,Desconocido
85,85,Risiocnemis seidenschwarzi,Cebu frill-wing,Insect (Damselfly),"Rivulet beside the Kawasan River, Cebu, Philippines",Unknown,Habitat degradation and destruction,Animalia,Insecta,Platycnemididae,Sexual,CR,En Peligro Crítico,Philippines,Frugívoro,Desconocido
86,86,Rosa arabica,-,Plant,"St Katherine Mountains, Egypt",10 sub-populations,"Domestic animal grazing, climate change, drought, medicinal plant collecting, limited range",Plantae,Magnoliopsida,Rosaceae,Sexual,EN,En Peligro,Egypt,Polinizador,Otros
87,87,Salanoia durrelli,Durrell's vontsira,Mammal,"Marshes of Lake Alaotra, Madagascar",Unknown,Loss of habitat,Animalia,Mammalia,Eupleridae,Sexual,CR,En Peligro Crítico,Madagascar,Frugívoro,Desconocido
88,88,Santamartamys rufodorsalis,Red crested tree rat,Mammal,"Sierra Nevada de Santa Marta, Colombia",Unknown,"Urban development, coffee cultivation",Animalia,Mammalia,Echimyidae,Sexual,CR,En Peligro Crítico,Colombia,Frugívoro,Desconocido
89,89,Scaturiginichthys vermeilipinnis,Red-finned blue-eye,Fish,"Edgbaston Station, central western Queensland, Australia",2,,Animalia,Actinopterygii,Pseudomugilidae,Sexual,LC,Preocupación Menor,Australia,Insectívoro,Otros
